sample-id,iguana-id,unique-id,sample-type,species,site,sex,tourism-level,visited,year,date,month,repro_month,repro_score,svl,tail,mass,glucose,progesterone,testosterone,e2,corticosterone,bacterial-killing-ability,glycerol,true-triglycerides,droms,antioxidants-index
S140,196B,196BUC,sample,inornata,UC,M,moderate,visited,2016,6/26/2016,june,late,M,33.1,41.6,1290,135,,0.074,,9.125,12.97518065,17.9132621,59.16771321,2.669646182,300.5905512
S139,45/0B,45/0BUC,sample,inornata,UC,M,moderate,visited,2016,6/26/2016,june,late,M,17.5,23,235,153,,0.081,,12.436,9.959158027,20.27027027,63.87715493,2.657728119,296.4566929
S138,142A,142AUC,sample,inornata,UC,F,moderate,visited,2016,6/26/2016,june,late,NRF,36.4,41.6,1285,139,0.738,1.122,,21.974,54.25699026,12.25644249,38.87430072,2.621973929,303.5433071
S137,95C,95CUC,sample,inornata,UC,M,moderate,visited,2016,6/26/2016,june,late,M,20.2,27.5,350,148,,0.079,,11.474,23.15425699,45.96165933,87.38155041,6.22122905,304.1338583
S136,32B,32BFR,sample,inornata,FRRC,F,no,non-visited,2016,6/24/2016,june,late,NRF,25.2,32.7,655,153,1.061,0.518,1.571,32.143,16.34026928,17.80286583,41.14240778,2.08566108,302.9527559
L9,30,30LC,sample,figginsi,LC,F,high,visited,2016,6/22/2016,june,late,NRF,25,35.2,630,,0.709,0.494,2.301,9.069,16.6969147,39.78555305,78.04137505,7.581801963,276
L7,36,36LC,sample,figginsi,LC,F,high,visited,2016,6/22/2016,june,late,NA,37.3,47.3,1570,103,,,,,14.09558379,,,,
L6,39,39LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,38.5,51.2,2170,154,,1.514,,1.256,37.44706594,93.32674944,90.31494442,12.06922391,300
L5,32,32LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,29,42,1085,188,,1.172,,5.238,28.85662432,75.55022573,48.4767394,9.13470116,300
L36/L30,,NA,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,,,,,,,,4.297,,,,,301.2
L35,59,59LC,sample,figginsi,LC,F,high,visited,2016,6/22/2016,june,late,NA,31.8,42.8,1210,153,0.925,0.594,1.45,1.955,10.64871481,32.2236449,63.65520099,2.728991971,320.4
L34,41,41LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,31.1,41,1160,168,,14.45,,8.516,48.47001224,124.1997439,116.949855,12.69723461,313.2
L31,65,65LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,43.5,59,3360,166,,7.441,,6.022,30.96695226,75.75757576,57.19021964,9.774130241,279.6
L30,,NA,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,,,,,,0.476,,,,147.4605207,115.8723581,,
L3,35,35LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,44.5,53.3,3740,192,,3.317,,1.671,23.29098609,46.13431151,55.84860025,5.160521415,318
L29,,NA,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,,,,,,0.089,,2.76,,78.1049936,38.58267717,,266.4
L28,77,77LC,sample,figginsi,LC,F,high,visited,2016,6/22/2016,june,late,NRF,28.5,41,935,204,1.261,,0.62,24.25,56.80580762,291.9334187,219.5607128,19.54826048,304.8
L27,31,31LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,36.2,49.8,1910,150,,0.076,,3.526,49.00181488,74.05036278,57.48031496,10.79036574,318
L26,76,76LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,30.1,41.7,1255,161,,0.076,,2.396,25.95281307,55.05761844,98.34231247,6.33719893,315.6
L25,75,75LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,29.8,41.4,1070,147,,7.094,,9.987,14.88203267,42.68032437,70.24450891,5.572167707,320.4
L24,74,74LC,sample,figginsi,LC,F,high,visited,2016,6/22/2016,june,late,NRF,32.5,42.9,1250,160,0.954,0.18,0.736,5.803,34.18027828,70.63593683,74.01574803,8.038537021,314.4
L23,44,44LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,32.2,46.5,1430,172,,0.077,,6.274,25.892317,33.93085787,70.6174886,9.340231936,278.4
L22,73,73LC,sample,figginsi,LC,F,high,visited,2016,6/22/2016,june,late,NRF,23.5,36,550,159,0.954,0.387,0.427,7.41,26.86025408,47.37516005,48.77745545,5.366636931,302.4
L20,72,72LC,sample,figginsi,LC,F,high,visited,2016,6/22/2016,june,late,NRF,24.2,37.7,690,176,0.075,0.26,0.274,7.143,17.54385965,67.93171558,69.85899547,9.739875112,301.2
L19,71,71LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,29.5,43.3,1180,158,,0.084,,3.956,42.04476709,413.8795987,227.3848684,,
L17,70,70LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,30.1,43.5,1170,151,,0.073,,2.276,33.33333333,17.56489842,52.18196789,5.012667261,321.6
L16,69,69LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,31.2,44.6,1220,172,,0.102,,,30.30852995,73.43397291,64.88009469,8.129884032,319.2
L15,68,68LC,sample,figginsi,LC,F,high,visited,2016,6/22/2016,june,late,NRF,30.7,45.7,1075,148,1.209,0.305,0.458,,47.06594071,451.0869565,57.27208647,,297.84689
L13,58,58LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,42.9,53.8,2980,145,,1.136,,4.369,59.16515426,83.80361174,88.57811857,10.75611062,318
L12,67,67LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,33,44,1520,149,,0.919,,,49.54627949,103.6963883,138.9074722,13.67921499,312
L11,EL1,EL1LC,sample,figginsi,LC,M,high,visited,2016,6/22/2016,june,late,M,35,47,2040,154,,11.568,,18.39,42.7707199,95.01975169,142.9214697,7.581801963,320.4
G5,11B,11BFRRC,sample,inornata,FRRC,F,no,non-visited,2016,6/25/2016,june,late,NRF,22.5,29.3,415,147,0.875,0.45,0.811,28.028,6.817467798,22.79635258,28.02402059,2.061824953,319.2
G4,103A,103AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/25/2016,june,late,M,26.6,35.5,705,160,,0.079,,44.306,5.120955074,41.46765089,30.91935945,1.489757914,320.4
G3,114A,114AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/25/2016,june,late,M,20.5,26.5,370,126,,0.089,,33.333,6.817467798,8.250108554,22.94824135,2.395530726,318
G2,170A,170AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/25/2016,june,late,M,25.7,33.7,595,102,,0.082,,50.548,3.235940936,22.79635258,28.73891907,3.408566108,308.4
G1,104A,104AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,6/25/2016,june,late,M,,,,153,,0.085,,79.525,11.71850456,,0,,
F99T5,82A,82AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/10/2016,september,post,Post,22,29.2,420,154,0.606,1.376,0.668,17.721,3.47107438,0,27.67619681,0.833367243,292.1052632
F98,81A,81AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/10/2016,september,post,M,20.5,27.8,410,132,,0.739,,23.442,0,0,36.61070479,1.028687691,309.6
F97,74A,74AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/10/2016,september,post,M,25.5,33.3,760,128,,0.48,,22.392,5.785123967,13.80952381,21.15192819,0.859409969,308.4
F96,35A,35AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/10/2016,september,post,M,45.1,53.7,3970,114,,1.679,,5.989,16.85950413,79.52380952,51.73703457,2.395930824,303.6
F95,28B,28BFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/10/2016,september,post,M,38.3,48.7,2475,205,,1.311,,4.256,2.479338843,16.9047619,20.23769947,0.585961343,326.4
F94,16A,16AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/10/2016,september,post,Post,31,41,1235,135,0.055,0.647,0.548,3.055,4.297520661,24.52380952,48.9943484,1.484435402,301.4354067
F93T1,72A,72AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/9/2016,september,post,Post,26.3,34.9,850,129,1.746,0.955,0.791,97.988,2.975206612,9.761904762,36.02892287,0.559918616,290.6698565
F92T2,32A,32AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/9/2016,september,post,M,34.8,44.7,1695,123,,1.939,,,2.975206612,15.71428571,17.7443484,0.625025432,308.4
F91T3,77A,77AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/9/2016,september,post,Post,19.1,24.8,270,117,0.663,,,40.976,4.132231405,25.95238095,24.10239362,3.593896236,
F90T4,98A,98AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/9/2016,september,post,Post,19.6,23.5,340,142,0.089,1.522,0.302,31.116,0,3.095238095,4.737367021,0.625025432,300
F9,104,104WBC,sample,figginsi,WBC,M,moderate,visited,2016,6/20/2016,june,late,M,31.2,41.6,1320,114,,1.476,,4.793,38.38451268,36.9974337,56.19552861,5.496620278,315.9090909
F89,31A,31AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/9/2016,september,post,M,38.8,47.7,2280,118,,0.392,,14.114,8.760330579,23.33333333,33.61868351,2.578229908,312
F88,38A,38AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/9/2016,september,post,M,44,52.3,3580,107,,2.27,,27.574,13.2231405,0,27.84242021,4.5965412,309.6
F87,54A,54AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/9/2016,september,post,M,42.1,53.1,2735,125,,3.093,,38.805,6.611570248,4.523809524,39.89361702,1.054730417,345.2192982
F86,33A,33AFRRC,sample,inornata,FRRC,F,no,non-visited,2016,9/9/2016,september,post,Post,34.1,46.7,1480,121,0.725,1.079,0.449,28.283,4.462809917,6.19047619,17.53656915,0.651068159,356.4035088
F85,159A,159AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/9/2016,september,post,M,31.3,40.8,1350,105,,1.204,,26.114,3.140495868,19.76190476,19.07413564,1.250050865,338.5087719
F84,152A,152AFRRC,sample,inornata,FRRC,M,no,non-visited,2016,9/9/2016,september,post,M,26.5,35.2,805,115,,0.644,,15.96,4.132231405,23.2967033,14.86358619,2.044354018,292.2807018
F83,165,165WBC,sample,figginsi,WBC,F,moderate,visited,2016,9/7/2016,september,post,Post,27.2,35.5,700,140,0.21,0.544,1.384,,5.120955074,10.15801354,49.86620008,0.72040201,299.2822967
F82,164,164WBC,sample,figginsi,WBC,F,moderate,visited,2016,9/7/2016,september,post,Post,23.5,35.4,535,134,0.705,3.087,1.18,21.073,6.817467798,9.311512415,50.67671881,2.598592965,302.8708134
F81,114,114WBC,sample,figginsi,WBC,M,moderate,visited,2016,9/7/2016,september,post,M,32.5,19.7/29.2,1275,120,,8.86,,8.062,3.235940936,5.290632054,60.36434747,2.096884422,307.5208914
F80,85,85LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,28.6,41.8,920,143,0.708,1.036,0.841,2.896,24.98113208,,,9.564687336,301.4354067
F8,51,51WBC,sample,figginsi,WBC,F,moderate,visited,2016,6/20/2016,june,late,NA,26.5,36.7,650,161,1.483,0.18,0.05,113.294,14.15220294,9.195893926,24.36528988,1.832206759,306.8181818
F79,92,92LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,31,22.3/32.0,1265,129,0.056,1.294,1.713,9.245,30.11320755,121.257485,105.2292535,12.48386758,292.1052632
F78,95,95LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,26.3,41.3,850,139,0.648,1.806,1.01,5.253,13.35849057,42.10028382,70.43942442,5.986337362,298.5645933
F77,90,90LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,30.1,41.2,1185,145,0.41,0.424,2.112,7.451,72.52830189,101.7029328,96.24013616,9.753021545,294.2583732
F76,89,89LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,35.4,45.6,2105,127,0.393,1.725,2.22,1.192,11.24528302,85.85619678,101.1913972,3.107514451,301.4354067
F75,91,91LC,sample,figginsi,LC,F,high,visited,2016,9/6/2016,september,post,Post,31.3,44.9,1305,122,0.21,0.616,0.754,7.667,25.73584906,102.8855251,85.0224354,9.335995796,
F74,32,32LC,sample,figginsi,LC,M,high,visited,2016,9/6/2016,september,post,M,30,44.6,1365,144,,0.184,,0.818,39.62264151,121.8070009,130.8602816,12.26862848,294.1504178
F73,58,58LC,sample,figginsi,LC,M,high,visited,2016,9/6/2016,september,post,M,41.6,52.9,.,125,,12.017,,1.775,13.66037736,38.31598865,62.85780597,6.120861797,297.4930362
